firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
ALDI,2020-06-03, Retail Sales Associate,"Former Employee, less than 1 year","London, England, England",3,,,,,,,v,r,r,Good,"Kind people, good atmosphere and fun",Fast paced and over time
ALDI,2017-11-17, Area Manager,"Former Employee, more than 1 year","Glasgow, Scotland, Scotland",2,1.0,1.0,,3.0,2.0,2.0,x,r,v,Area Manager,"Great introductory salary. 
Tremendous initial amount of responsibility and experience.","Amongst area managers there was no real time for a life.
""Mentorship"" is great if you get the right mentor. In my case there was no common ground. I was paired with an area manager who was boastful about working 21 days without a day off and seemed incapable of having a non-Aldi conversation. I appreciate shop talk at work is important, but on a 3 hour drive there should be at least a hint of other interests.

Honestly, 40k and an Audi sounds great, but you will end up forgoing some pretty valuable years of post graduation life. You've waited 3 or 4 years to finally get a salary and ditch the student digs. Don't waste it by shooting for a high salary and missing out on a life. You'll end up a pasty, overworked, underweight and frankly very boring individual.

P.S you friends will think you are boring if you take this job - it's a unavoidable side effect - selling cabbages is not interesting.

I now work in Tech, Make more money and have regular working hours that mean I can enjoy a work life balance. If you're passionate about retail and not much else then go for the AM grad scheme. If you have any other passion, creativity, outlet you need to be willing to sacrifice it. When I read similar reviews in 2014 I thought.. It can't be that bad. It's honestly not worth it."
ALDI,2019-07-20, Sales Associate,"Former Employee, more than 1 year","Lincoln, England, England",4,,,,,,,o,o,o,Good,"Good place to work, hard work","Long hours, stress management so not bad place to work"
ALDI,2020-12-14, Retail Store Assistant,"Former Employee, less than 1 year","Enfield, England, England",3,,3.0,,4.0,3.0,,o,o,o,Fast paced work,"Earnings, overtime if needed, paid break","Hard, multitasking work under the stress"
AJ-Bell,2020-09-30, Senior Benefits Administrator,Current Employee,"Manchester, England, England",4,,,,,,,o,o,o,Good,A good place to work,Doesn't pay enough money etc
ALDI,2017-09-20, Anonymous Employee,"Former Employee, more than 3 years","Northampton, England, England",3,1.0,2.0,,4.0,3.0,1.0,x,r,v,Not for the faint hearted,"Small team atmosphere, time flies, store assistants can earn a decent amount of money for a supermarket role, and if you can make it at Aldi, you can make it anywhere!","Depending on which store you get, it can be savage. As a manager, you have to work a lot, and then prepare yourself to get an ear full from your area manager for working too much!"
ALDI,2017-10-14, Customer Service Associate,"Former Employee, more than 1 year","Birmingham, England, England",3,3.0,3.0,,4.0,,3.0,x,r,r,Minimal Training,Pay & helpful store deputy manager.,"No flexibility, training promised not carried out."
ALDI,2021-02-23, Order Picker,Former Employee,Dubai,1,1.0,1.0,1.0,1.0,1.0,1.0,o,o,o,Section Leaders are POOR in CHILL,Money is good for what you have to do,Poor management and needs reviewed
ALDI,2020-09-12, Store Assistant,Former Employee,"Chelmsford, England, England",1,1.0,2.0,,4.0,3.0,2.0,x,r,r,Money isn't worth it,Good pay and paid breaks,"If you don't say yes to taking extra shifts you get treated poorly. Frequently had calls to come in on my days off. Also suffered from weeks of sexual harassment, which the company treated as, ""an inappropriate comment"" ""on one occasion."""
ALDI,2021-02-26, Customer Assistant,"Former Employee, more than 1 year","Manchester, England, England",3,,,,,,,o,o,o,Meh,Good teamworkand enjoyed working with manager,Demanded to do more hours than on your contract
ALDI,2020-11-28, Store Associate,"Current Employee, less than 1 year","Bristol, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great place to work,Flexi hours good rate of pay,I do not see any cons
ALDI,2020-04-21, Area Manager,"Current Employee, more than 3 years","Sheffield, England, England",5,4.0,5.0,,5.0,5.0,4.0,v,o,v,"Good company, good people","People, colleagues are all great and hardworking, high salary",Long hours but very well paid for it
ALDI,2014-11-10, Store Manager,"Current Employee, more than 5 years","Swindon, Wiltshire, South West England, England, England",1,1.0,1.0,,1.0,2.0,1.0,x,x,r,"Aldi UK - AWFUL really terrible place to work, treated as a number and abused",Good place to shop AFTER work IF you have time,"YOU CAN NOT BE PROMOTED TO AREA MANAGER EVEN IF YOU HAVE BEEN A STORE MANAGER FOR 10 YEARS AND ARE THE BEST IN THE COMPANY, ALDI ARE OPEN ABOUT THIS. You may read the salary is great but on a 48 hour contract for a manager (you will work 10 hours + OT easily) taking that into consideration the hourly wage eqiv is poor! The expectations are SERIOUSLY unrealistic and being performance managed by a 21yo that knows nothing about retail and has never had a job is a hard pill to have to swallow! I am a relatively respected manager and I do not under perform, however this company will want you heart and soul, prepared to be owned by them. Your life will be consumed."
ALDI,2015-05-29, Deputy Manager,"Current Employee, more than 3 years","Manchester, England, England",3,2.0,4.0,,2.0,3.0,3.0,x,o,v,ALDI-Deputy manager,"The pays good, small stores with close staff that have a family feel, good holiday benefits, good career opportunities too move up the ladder.","Long hours, very high amounts of pressure, especially the deputy manager role due to being in the middle of the ladder."
ALDI,2018-04-26, Store Assistant,"Current Employee, less than 1 year","London, England, England",1,1.0,1.0,,1.0,2.0,1.0,x,o,r,Don't ..Just Don't.,Maybe the money? But is your health really worth the risk?,"Strains on your body physically, strain on your mental health massively. Customers are rude often and all your given for advice is, ~""you need to be strong and put on a strong front, don't let it get you"" ... Wow yeah great advice..
If you're seen resting for a millisecond you will be demanded to explain/go into the meeting room or you'll be given a job to complete in a ridiculous time period. 
One day off and its marked, two days and you'll be brought into the meeting room and spoken too. 
Ridiculous shift patterns. 5am (up at 3) or you ""finish"" at 10.30pm when in reality its more like 12am on-wards.  
If you have any kind of health issues or conditions, (back problems, diabetic, etc) DON'T and i repeat, DO NOT apply. 
Worst decision i ever made. Yes you get £10.20, but i have never felt so down trodden and exhausted mentally physically and emotionally."
ALDI,2017-05-02, Store Assistant,"Former Employee, more than 1 year","Birmingham, England, England",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Brilliant Company!,"Working as a team
Management listen to you when you have an issue
Friendly staff, lots of banter on job
Professional
Great pay
Amazing benefits
28 days holiday even if part time - only on 10 hour contract
Fast pace work, always something to do
Lots of room for progression","Early starts, late finishes
Can be repetitive"
ALDI,2015-04-29, Customer Assistant,"Former Employee, less than 1 year","London, England, England",1,1.0,1.0,,2.0,1.0,1.0,x,x,v,customer assistant,"Prons,,,, none, nearly all workers are foreigners despread for work so they don't complain about working conditions","Bully managers, no freedom of speech for staff. Even if you have a 25 hour contract they do whatever they like. when they want you can work more then 40 hours on a 25 hour contract, and if they choose to give you 10-15 is nothing you can do about it. You work like a donkey with no appreciation from management. I have been called names by deputy managers. You are on an evening shift that says 10 or 10:30 and you get out after midnight. If the managers like you, you are lucky, if they dont they make your life hell"
ALDI,2020-01-21, Construction Manager and Craftsman,"Current Employee, more than 3 years","Stoke-on-Trent, England, England",5,,,,,,,o,o,o,Review,Great job with high responsibility and growth,Hard Work in a challenging atmosphere
AJ-Bell,2017-01-28, Business Analyst,Current Employee,"Manchester, England, England",5,4.0,5.0,,5.0,5.0,5.0,v,v,v,Fantastic,"Excellent place to work, soon to be moving the main office based in Manchester to a new building the whole move having taken consultations of staff into account at every level, the company culture is fantastic and staff are friendly and helpful. Joy to work for and brilliant opportunities to come.",Parking can be an issue and there could be more social engagements available.
AFH-Wealth-Management,2018-12-04, Anonymous Employee,Former Employee,,2,4.0,2.0,,2.0,1.0,1.0,x,o,o,In the process of trying to provide the best service for clients they have forgotten about their staff,The compressed hours structure works well where you get a day off in the week. The staff within each department are lovely and you can make some great friends for life here.,"I genuinely believe AFH have a good offering for clients and try to put their best interests at the heart of the business decisions however in doing so they have completely forgotten about the staff who are the people that provide that back office service to clients. If your staff are happy, feel well cared for, listened to and fairly remunerated for what they do then they will respect the company and want to deliver a service to the best of their ability. If you don’t do these things, which unfortunately is the case at AFH, the reverse is true. They focus too much on ‘cheap labour’ and harbour an atmosphere of ‘us and them’ between senior management and staff. I genuinely believe the CEO wants to do right by the staff but he is surrounded by yes people who shelter him from what’s really happening on the office floor. They don’t look after their own, people who have been loyal to the company for many years, other than those who have made it to a seat at the board table. When it comes to promotions, they prefer to recruit externally rather than those with experience who have worked their way through the ranks which is often a cause of frustration for staff who keep being promised their next promotion is just around the corner. HR is a shambles and you wouldn’t want to tell them anything remotely confidential otherwise it’s round the office as gossip in no time at all. They certainly don’t want people who will challenge the order of things or suggest a new way of thinking. It is a shame as I think the company has a lot of potential but unfortunately, despite beating you over the head about being ‘the employer of choice’, right now they are anything but. The company is growing rapidly but unless they do something soon about the multitude of unhappy staff (I interacted with all the departments in the business and almost every single person felt the same way), the entire back office support system will collapse and they won’t have any long term, knowledgeable or experienced staff to hold the business up."
ALDI,2019-08-15, IT Specialist,"Former Employee, more than 3 years","Atherstone, England, England",1,1.0,1.0,,1.0,3.0,1.0,x,r,r,Perspective now into such a horrible workplace,"Pay is ok, but they make it seem like you will never do better which is not true!","It is only when you leave Aldi and luckily in my case go to a fantastic employer, that you realise how bad it was to work there. No flexibility on life at all, had to be at desk at 8am on the dot and if 1 minute late had to apologise and explain why. Had to beg to leave for appointments etc. Micro managed to the worst degree. Did twice as much work as the rest of the team but only ever told what I was doing wrong not right. People who get promoted are the ones that upper management like, not the most capable. When I joined they had this endless list of the most archaic rules, like no stubble, never use multiple fonts in an email, no lunch at desk, if have water had to be in a glass and not a bottle, women couldn't wear shoes that showed the toes, advised against wearing too many earrings, the list goes on. Thankfully now I work for the most incredible company who are flexible and encouraging. It made me realise that not all managers are as awful as the ones I had at Aldi."
ALDI,2020-07-28, Picker/Packer Nights,"Former Employee, less than 1 year","Chelmsford, England, England",2,1.0,1.0,,1.0,1.0,1.0,x,r,r,Boring but simple.,Average pay for simple role.,Poor management. Boring. Repetitive. No room for progression.
ALDI,2019-09-20, Store Assistant,"Current Employee, more than 1 year","Northfield, England, England",3,1.0,2.0,,3.0,3.0,1.0,x,r,r,Ungrateful,Plenty of overtime as staff sickness is awful,Not appreciated for your hard work
ALDI,2020-12-03, Deputy Store Manager,Current Employee,"Polmont, Scotland, Scotland",2,,,,,,,o,o,o,Not worth the money,The pay is better than 90% of retailers.,"The hours are so antisocial you'll never see the daylight again, and those times you do you're usually too tired from 7 day, 10 hour shift, stretches that you can't do anything on it."
ALDI,2019-12-04, Quality Assurance,"Current Employee, more than 3 years","Atherstone, England, England",5,5.0,4.0,,3.0,3.0,3.0,v,v,v,Quality review,"Clear job discription role and responsibilities.
Structured was of working.","Difficult to progress within one department.  Poor flexible working options and not possible to work from home. 
Reliance on technical service providers. Toles become administration roles rather than using knowledge and experience."
AJ-Bell,2021-03-02, Manager,"Current Employee, more than 1 year","Salford, North West England, England, England",4,4.0,4.0,3.0,4.0,4.0,4.0,v,v,v,Busy and Exciting,"Alot of change, fast paced, friendly people, very busy, lots of growth!!",Some systems and processes are still developing to back up the rapid growth
ALDI,2021-02-07, Customer Advisor,"Former Employee, less than 1 year","Manchester, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,o,v,Good,"Paid breaks, Cycle to work scheme and cheap cinema tickets",Low contracted hours and not many incentives
ALDI,2019-05-15, Assistant,"Former Employee, more than 5 years","Atherstone, England, England",1,1.0,1.0,,1.0,1.0,1.0,x,r,x,Bad Management,The best thing was my colleagues who all felt the same as me but are to scared to leave,Absolutely everything about working for Aldi has a downside
ALDI,2020-11-25, Store Assistant,"Former Employee, more than 1 year","Glasgow, Scotland, Scotland",2,,,,,,,o,o,o,Difficult Targets and Micro Management,"Aldi offer a good rate of pay, and various incentives such as yearly bonuses or wage increases. Aldi also offer Loans through the company. healthcare, including mental health help. (never used, but would come in handy in there)","Management are given ridiculous targets (KPI's), that are simply unrealistic. They will pass off incredible workloads to staff and increase pressure on them to the point I have seen many workmates at the end of their tether, close to mental breakdowns with stress. A constant micro management scheme increases pressure and every aspect of your work is watched every second of the day and scrutinised, deemed not good enough. with time targets for each pallet delivered to the shop floor and till scanning speeds that are ridiculous, to the point that you have little opportunity to interact with customers."
AJ-Bell,2015-06-21, Team Leader,"Former Employee, more than 3 years","Manchester, England, England",4,5.0,3.0,,2.0,4.0,4.0,v,v,v,Growing provider,"The core staff, managers and above, have been there for 10 years or more. It means there is a stable environment to work in. Some recent investment has led to more opportunities in IT and operations.","As managers have been there for 10 years or more, the opportunities to move up are few and far between. Like a lot of companies, directors have their favourites who will move up regardless of experience or talent."
AJ-Bell,2020-11-30, Office Administrator,"Current Employee, more than 3 years",,5,5.0,5.0,4.0,4.0,5.0,4.0,v,v,v,Good Place,Good community and Good Benefits,Lots of competition for senior positions
ALDI,2021-02-12, Store Manager,"Former Employee, more than 5 years","Blackpool, England, England",3,1.0,3.0,4.0,3.0,4.0,3.0,o,o,o,salary,"great salary
in charge of own kpi's","poor work life balance
long hours"
ALDI,2020-11-27, Area Manager,"Current Employee, more than 3 years","Chester, England, England",4,2.0,3.0,4.0,2.0,3.0,4.0,x,r,v,Area Manager,High level of responsibity in the role,Work life balance is heavily impacted
ALDI,2020-04-21, Area Manager,"Current Employee, more than 1 year","Neston, North West England, England, England",5,3.0,5.0,,5.0,5.0,4.0,v,v,v,"Hard Work, Good Pay","Good Pay
Great Benefits
Nice Car
Lots of Responsibility","Long Hours
Lots of Responsibility
Hard Work
Hard to get work life balance correct"
ALDI,2017-05-01, ,"Current Employee, less than 1 year","Atherstone, England, England",2,4.0,2.0,,1.0,2.0,2.0,x,o,v,Aldi UK,"Good salary, good work-life balance (ideal if you have a family).",Hardly any room for progression at Head Office.
ALDI,2020-05-07, Store Assistant,"Former Employee, less than 1 year","Brighton, England, England",4,4.0,4.0,,4.0,4.0,4.0,v,o,v,Good place to work,"Fair environment
Good pay and hours",Hard work so be prepared for that
ALDI,2016-01-25, Store Assistant,"Current Employee, more than 3 years","Stoke-on-Trent, England, England",2,4.0,3.0,,2.0,3.0,4.0,x,o,v,store assistant,a good hourly rate of pay,tough on the body !
ALDI,2021-02-01, Deputy Manager,"Current Employee, more than 3 years","London, England, England",1,1.0,2.0,5.0,4.0,3.0,5.0,x,r,v,No work life Balance,"Good pay
Great team work
Good rates of progression.","No work life balance 
Extremely demanding physically 
Not suitable if you have physical limitations"
ALDI,2020-08-14, Graduate Area Manager,"Former Employee, less than 1 year","London, England, England",4,2.0,3.0,,3.0,5.0,4.0,x,o,r,Hard,Very good Salary and Car,Lack of work/life balance and Time outside work
ALDI,2016-12-16, Warehouse Picker,"Current Employee, less than 1 year","Neston, North West England, England, England",3,3.0,2.0,,4.0,2.0,3.0,o,o,o,"Good money, short shifts, hard work","Good manual job working wage, short shift patterns, early mornings mean early finishes. Job can lead to higher positions very quickly based on performance and attendance.","Early mornings can mean 4 am starts, high hourly pick rate of 300 cases, very repetative job. very little time to socialise with other staff. No customer interaction whatsoever."
ALDI,2020-08-31, Anonymous Employee,"Former Employee, more than 5 years","London, England, England",5,2.0,5.0,,5.0,5.0,5.0,o,o,o,aldi,Good pay and nice staff,None because aldi is such a good company
ALDI,2021-03-11, Deputy Manager,"Former Employee, more than 3 years","Leek, England, England",3,2.0,3.0,3.0,5.0,5.0,3.0,v,v,r,Hard work but very rewarding,"Hard work but very rewarding, excellent pay","Antisocial hours, long shifts etc"
AFH-Wealth-Management,2020-06-08, Anonymous Employee,"Former Employee, less than 1 year","Bromsgrove, England, England",1,3.0,1.0,,1.0,1.0,1.0,x,o,x,Avoid,"Working hours 
Some of the people you work with
My actual boss (not supervisor) was supportive and did try to make me feel more comfortable.","Supervisor made me very uneasy from the start never introduced me to the rest of the team, not a people person and wasn’t approachable. was not supportive and expects you to know exactly what you’re doing even if you have never been in that sector before."
ALDI,2021-01-26, Assistant Manager,Former Employee,"Winchester, England, England",2,1.0,3.0,3.0,4.0,1.0,1.0,x,v,x,Good Pay but shocking work/life balance,"Good Salary, Progression friendly, Challenging","Worked to the bone to the point of imminent breakdown
You’re just a number"
AFH-Wealth-Management,2016-01-28, Office Administrator,"Current Employee, less than 1 year","Bromsgrove, England, England",1,1.0,1.0,,1.0,1.0,1.0,x,o,x,"Low salary, bad micromanagement",Easy to get the job even without experience in finance,"Very low salary, poor working conditions, very little training provided but high expectations. Micro management are young, inexperienced and superficial girls who are not able to provide guidance and support for their teams."
ALDI,2019-09-03, Assistant Store,"Former Employee, more than 3 years","Newport, Newport, Wales, Wales",1,1.0,1.0,,1.0,1.0,1.0,x,o,o,Awful place to work,Wages are above average,"Work load, management, shifts unfair, clicky staff"
ALDI,2017-08-28, Shop Assistant,Former Employee,"Edinburgh, Scotland, Scotland",1,2.0,1.0,,2.0,2.0,1.0,o,o,o,Modern day slavery at its best,"I could say the hourly salary, but believe me: it is not worth the stress and humiliation","working at the cash desk is a true nightmare: no drinks allowed (not even water!) even if you have to stay there for 5 hours straight; no space next to the till in order to force the customers to THROW the items inside their trolley/basket themselves and as fast as possible; you have a target in terms of number of items scanned per minute and the receipts do not even show the change (so if you mess it up because you are working like a pinball, that will stay on your personal file); and the imposition of getting your face shaven except for some 'Religious' reasons is even racist"
ALDI,2021-01-29, Store Assistant,Current Employee,"Derby, England, England",5,4.0,5.0,5.0,5.0,5.0,5.0,v,o,v,Great employer,"motivating, engaging, varied, physical, supportive",early starts can be an issue for some employees
ALDI,2019-08-18, Store Assistant,"Current Employee, more than 3 years","Leicester, England, England",3,3.0,1.0,,5.0,5.0,3.0,x,r,r,Tills and stocking shelves,Management were very nice,You're extremely over worked
ALDI,2017-07-28, Assistant Store Manager,"Former Employee, more than 1 year","Chelmsford, England, England",1,1.0,1.0,,2.0,2.0,2.0,o,o,v,Assistant Manager,"Good starting salary - 32k for inside M25, growing number of locations, friendly head office team, some great store colleagues","Promise of good work/life balance is quickly removed, lack of inspiring leadership, no motivating factors other than money, ruthless line management, no time to complete your training, little focus on colleague engagement, under-performing colleagues not dealt with due to strict turnover targets, dirty stores, no focus on store service, no way to escalate customer feedback, lacking a people approach."
ALDI,2021-03-24, Anonymous Employee,Current Employee,"Montréal, QC",3,,,,,,,o,o,o,Meh,It’s a job I guess,It’s a supermarket job unfortunately
ALDI,2019-03-23, Deputy Manager,"Current Employee, more than 3 years","Norwich, England, England",4,3.0,4.0,,4.0,4.0,3.0,x,r,x,Deputy manager,Well money is ok good luck,To mush work to many people don’t now what they do?
ALDI,2019-10-16, Deputy Store Manager,Current Employee,"Rainworth, England, England",1,1.0,1.0,,1.0,1.0,1.0,o,o,o,Terrible,Can’t think of any pros,Have to do the managers work for like £1.50 more an hour than the 18 year old store assistants which the manager is on 60k a year sat in office
AFH-Wealth-Management,2019-04-11, Anonymous Employee,"Former Employee, more than 3 years",,1,2.0,1.0,,2.0,1.0,1.0,x,o,r,I Strongly Advise Against Joining AFH Wealth Management,"The pros to employment at AFH Wealth Management are only apparent if you are a favourite employee or you are straight form school/university or college and no no other working environments.
The benefits on top of your salary could be a desired addition to your employment, however, most people do not use said benefits so they are effectively nul and void.","The environment is extrememely biased in that if you are one of the chosen ones then your time there can be rewarding and enjoyable, however, if you are professional, accomplished and have experience from working in other estsblishments then you are seen as 'not the AFH way'.
The senior managment leave a lot to be desired. Most people there will hinder your career as opposed to progress it as it is a vindictive and malicious environment. The salary accross the board is undesirable in that 2 people could be doing the same role and the favoured party will be paid considerably more as they are a 'yes person' and most likely affraid to challenge for positive and productive outcomes. Contempt breeds with endless gossip. 
The investment ethos also leaves a lot to be desired and many other investment companies in the midlands have better returns in comparison and therefore are better businesses in practice.
The position that I carried out allowed me to gain knowledge of the business and its employees from a higher level of access and I am qualified to say that my comments are knowledgable and accurate.
Avoid AFH if you want to progress fairly and be rewarded for your hard work."
AFH-Wealth-Management,2019-03-06, Anonymous Employee,Former Employee,,3,4.0,5.0,,3.0,4.0,4.0,v,o,v,"Great Company, Shocking Salary",The company is very large so there is room for career progression. There is also great benefits and flexi hours.,"The salary is terrible, even when progressing into another role with more responsibility the salary still is not good."
ALDI,2016-01-04, Assistant Store Manager,"Former Employee, less than 1 year","Birmingham, England, England",4,2.0,3.0,,4.0,3.0,3.0,v,v,v,"Good employer, but work you hard.",Good pay for the industry but they get their pound of flesh and then some for the money.,Lack of staff which means lots of extra work required at times.
ALDI,2021-03-04, Store Assistant,"Current Employee, less than 1 year","Oxford, England, England",2,1.0,1.0,1.0,1.0,1.0,1.0,x,r,x,Awful place to work,Living wage pay was decent,Managers do not see staff as people
ALDI,2014-07-03, Area Manager,"Former Employee, less than 1 year","Birmingham, England, England",4,1.0,3.0,,4.0,4.0,5.0,v,v,v,"Not bad, but some very ingrained issues...","Great Salary, company car, professional senior management, dedicated staff in-store.","Far too much of the ""just get it done"" mentality, which is what many junior (graduate) managers come to perceive in their first management role as being leadership. Communication at all levels is poor. Capacity in busy stores in danger of being outstripped by demand. Work/Life balance is poor, although if you're a graduate in your first job then why not..."
ALDI,2017-05-09, Store Assistant,Former Employee,"West Drayton, London, England, England",2,3.0,4.0,,2.0,4.0,1.0,x,r,r,Poor Management,Employees were friendly and pay was great.,"No consistency from managers, too much hypocrisy from management."
AFH-Wealth-Management,2016-04-16, ,Current Employee,,5,2.0,3.0,,2.0,2.0,3.0,x,o,r,Over promised under delivered,Nice staff to work with,No career progression and salary is poor
ALDI,2015-02-10, Store Assistant,"Current Employee, less than 1 year","Liverpool, England, England",4,3.0,3.0,,3.0,4.0,3.0,v,o,v,fair company with rewards for hard work,very good starting salary,not really any cons you may work hard but you earn your rewards
ALDI,2019-06-27, Deputy Store Manager,"Current Employee, more than 1 year","Pitsea, England, England",4,1.0,3.0,,3.0,3.0,3.0,o,v,v,"Good money, unrecheable targets","Very good pay 
Cycle to work available","You are doing 3 peoples job
Unrecheable targets
Higher management not listening 
No HR so if there is a complaint regarding management it's pretty hard to get it through to somewhere!"
ALDI,2020-10-26, Assistant Manager,"Current Employee, more than 8 years","Gosport, England, England",4,1.0,3.0,3.0,4.0,4.0,3.0,x,o,v,Good pay,Meeting lots of nice people,Working long hours and random shift pattern
ALDI,2016-12-20, Project Coordinator,Former Employee,"London, England, England",3,3.0,3.0,,3.0,4.0,3.0,v,v,v,Project coordinator,- Good atmosphere in the office,- Bad climate when travelling somewhere
AJ-Bell,2020-02-06, Customer Service Administrator,"Former Employee, more than 1 year","Salford, North West England, England, England",3,4.0,4.0,,3.0,2.0,3.0,v,r,v,Good place to start but limited career prospects & low pay,"Good working environment
Mostly friendly staff
Stable and secure job
Team atmosphere & good Christmas/summer party
On-site small gym","Low pay & small bonuses
Repetitive work
Every promotion is highly competitive
Some teams are managed worse than others
Customer service clients are not nice to deal with
Only 22 days holidays"
ALDI,2018-08-10, ALDI Area Manager,"Former Employee, more than 5 years","Atherstone, England, England",4,3.0,3.0,,2.0,5.0,3.0,v,r,v,Area Manager,"Excellent salary, and decent benefits.","Narrow development scope, and limited opportunities for professional development beyond the day job.
Secretive nature of company results in limited room for innovation and industry / sector collaboration."
AJ-Bell,2016-09-14, Operational Finance Assistant,"Former Employee, more than 8 years","Manchester, England, England",3,4.0,1.0,,2.0,3.0,2.0,x,r,r,Falling short where it really matters,People. Some of the best people I have met let alone worked with. Reasonable holiday allowance and decent social events.,Poor salary. Support to progress is non existent. There is a huge 'Face fits' culture. Poor operating systems. Training is lacking.
AJ-Bell,2017-02-06, Anonymous Employee,Current Employee,"Manchester, England, England",5,4.0,5.0,,4.0,4.0,5.0,v,v,v,Reputable forward thinking company,"Varied workforce, from graduates to more experienced members of staff, all friendly. Good social aspect, easy to get involved. Study support is very good when utilised. The company are often flexible to individual needs and management are down to earth and easy to get on with.","Parking is an issue, and the building is outdated however the move to EQ4 early this year will go some way to addressing these."
ALDI,2016-08-10, Store Assistant,"Current Employee, more than 5 years","Durham, England, England",5,3.0,1.0,,3.0,3.0,1.0,x,r,r,Store assistant,"Hours that suit Me, as I have a little one. Decent pay, variety of jobs, never bored work 25 Hours over 3 days.","Expect too much, timings on all deliveries. Been at aldi 5 years and made it to management, I then stepped down due to being ask too much of me for no reward. H never failed any test deliveries and smashed all my timings I passed all my secret customer, I am considered one of the best workers, but recently I failed a mystery shopper and I get a disciplinary straight away. There was no asking me why, how, are you ok cause this was out of character, it was straight for disciplinary No questions asked, i made one mistake in in 5 years and this is how they repay you, poor judgement call from management. If anything this is going to make me slowdown and it also affects morale,"
AJ-Bell,2017-02-03, Trainee Accountant,"Current Employee, more than 1 year","Trafford Park, England, England",5,4.0,5.0,,5.0,4.0,5.0,o,o,o,Working at AJ Bell,"- Great opportunities for training and career progression.  I am currently studying towards the ACCA qualification and AJ Bell offer full study support with paid study leave.
- Rotations within the Finance department have meant that I have gained exposure to many of the key areas such as purchase ledger, sales ledger, cashbook and stat accounts.
- Great team atmosphere!",- Current building is slightly dated however we are moving to a brand new location early this year which has great new facilities including a gym and social areas.
ALDI,2021-03-20, Aldi Assistant Manager,"Former Employee, less than 1 year","London, England, England",1,1.0,1.0,1.0,1.0,1.0,1.0,x,x,x,Bad,Bad bad bad bad bad and bad,It was horrible and terrible
ALDI,2020-10-16, Warehouse Selector,Current Employee,"Cardiff, Wales, Wales",5,5.0,5.0,5.0,5.0,5.0,5.0,o,o,o,all roles are well paid,all roles are well paid,there is no social life inside work
ALDI,2021-01-24, Senior DSM,Current Employee,"London, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Best of the best,Best company I ever work with,hard work is essential at Aldi
ALDI,2018-02-22, Warehouse Selector,"Current Employee, more than 1 year","Bathgate, Scotland, Scotland",4,4.0,3.0,,4.0,4.0,3.0,v,r,v,Aldi selector,Good working environment not to bad wage,Sometimes the work is really monotone
ALDI,2017-03-22, Anonymous Employee,"Current Employee, more than 3 years","Aylesbury, England, England",5,4.0,5.0,,2.0,5.0,5.0,v,o,v,Great Company To Work For,"Market Leading Pay
Challenging but fun work environment
Never a dull moment",Difficult to progress beyond store manager
ALDI,2019-07-04, Logistics Assistant,"Former Employee, less than 1 year","London, England, England",3,3.0,3.0,,3.0,4.0,3.0,v,o,v,Logistics Assistant Role,"Good pay, good colleagues, good, safe working environment.","Management are a bit aluff. Management style is a little Victorian but all in all, a good place to work."
ALDI,2021-02-05, Store Assistant,Former Employee,"Bradford, Yorkshire and the Humber, England, England",5,,,,5.0,,,o,o,o,Great place to work,"Keeps you on your toes
Hard working team",Some rude and impatient customers
ALDI,2021-02-11, Assistant Manager,"Current Employee, more than 5 years","Cardiff, Wales, Wales",5,4.0,4.0,5.0,5.0,5.0,5.0,v,o,v,48 Hours over 5 Days,"Good environment to work in, also hard work is rewarded. Chances to progress via hard work. In general staff are great also.",late finishes or early starts can fluctuate.
AFH-Wealth-Management,2016-05-26, Office Administrator,"Current Employee, less than 1 year",,3,4.0,2.0,,2.0,3.0,2.0,o,r,r,Office administrator,"Some good people to work with.

Flexible working.

Out of hours language classes and aerobics.

Financial support for exams.","Morale.

Lack of managerial structure.

Doesn't seem to support career progression.

No formal training."
ALDI,2020-08-28, Assistant Store Manager,"Current Employee, more than 3 years","Doncaster, England, England",5,4.0,5.0,,3.0,4.0,4.0,v,o,v,Great company,"Cares about its staff, good working culture","Long working hours, very physical job"
ALDI,2019-01-27, Store Assistant,"Former Employee, more than 1 year","Nottingham, England, England",3,3.0,2.0,,1.0,3.0,3.0,x,r,v,Good people to work with,Great team to work with,"Progression is slow, not enough routes and options."
AJ-Bell,2018-10-25, Anonymous Employee,"Current Employee, more than 5 years","London, England, England",4,4.0,4.0,,5.0,3.0,4.0,v,v,v,Good opportunities to progress - an improving company,"Plenty of opportunities for the right people to progress.

Not afraid to spend money when needed.

Not overly bogged down by management over-involvement.","Very different cultures between Manchester & London offices, which are not always to the benefit of the company.

The company is so driven to remain at the bleeding edge of the industry, that it ignores what it already has.

Embarrassingly poor benefits package.

Customer service could be better - you get what you pay for."
ALDI,2016-03-07, Deputy Store Manager,"Current Employee, more than 3 years","Birmingham, England, England",3,3.0,3.0,,5.0,1.0,4.0,v,v,v,You have to be willing to bend over backwards.....,"Good team spirit.
Good pay. Needs improving though.","Pressure is too intense... 
Expected to perform. After being shown once"
